type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Nonref,2000,0,CL,0-10,1832.0,40.1,-32.4
Nonref,2000,0,CL,10-20,5670.0,42.7,-16.7
Nonref,2000,0,CL,20-30,6517.0,31.0,4.3
Nonref,2000,0,CL,30-40,5767.0,18.8,17.1
Nonref,2000,0,CL,40-50,4280.0,10.2,18.1
Nonref,2000,0,CL,50-60,3778.0,6.7,11.1
Nonref,2000,0,CL,60-70,3869.0,5.2,12.5
Nonref,2000,0,CL,70-80,3816.0,3.9,17.6
Nonref,2000,0,CL,80-90,3586.0,2.7,20.5
Nonref,2000,0,CL,90-95,3507.0,1.8,21.3
Nonref,2000,0,CL,95-99,2248.0,0.7,25.8
Nonref,2000,0,CL,Top 1%,244.0,0.0,28.6
Nonref,2000,0,CL,ALL,4506.0,5.6,8.7
Nonref,2000,0,NO,0-10,1832.0,40.2,-32.4
Nonref,2000,0,NO,10-20,5670.0,42.7,-16.7
Nonref,2000,0,NO,20-30,6517.0,31.0,4.3
Nonref,2000,0,NO,30-40,5767.0,18.8,17.1
Nonref,2000,0,NO,40-50,4280.0,10.2,18.1
Nonref,2000,0,NO,50-60,3778.0,6.7,11.1
Nonref,2000,0,NO,60-70,3869.0,5.2,12.5
Nonref,2000,0,NO,70-80,3816.0,3.9,17.6
Nonref,2000,0,NO,80-90,3587.0,2.7,20.5
Nonref,2000,0,NO,90-95,3513.0,1.8,21.3
Nonref,2000,0,NO,95-99,3562.0,1.1,25.2
Nonref,2000,0,NO,Top 1%,3705.0,0.3,28.6
Nonref,2000,0,NO,ALL,4586.0,5.7,8.7
Nonref,2000,0,PT,0-10,1829.0,40.1,-32.4
Nonref,2000,0,PT,10-20,5669.0,42.7,-16.7
Nonref,2000,0,PT,20-30,6517.0,31.0,4.3
Nonref,2000,0,PT,30-40,5765.0,18.8,17.1
Nonref,2000,0,PT,40-50,4278.0,10.2,18.1
Nonref,2000,0,PT,50-60,3777.0,6.7,11.1
Nonref,2000,0,PT,60-70,3832.0,5.2,13.1
Nonref,2000,0,PT,70-80,3273.0,3.3,20.8
Nonref,2000,0,PT,80-90,1339.0,1.0,23.6
Nonref,2000,0,PT,90-95,327.0,0.2,21.5
Nonref,2000,0,PT,95-99,262.0,0.1,25.3
Nonref,2000,0,PT,Top 1%,171.0,0.0,28.6
Nonref,2000,0,PT,ALL,4019.0,5.0,9.4
Nonref,2000,500,CL,0-10,1832.0,40.2,-32.4
Nonref,2000,500,CL,10-20,5670.0,42.7,-16.7
Nonref,2000,500,CL,20-30,6519.0,31.0,4.2
Nonref,2000,500,CL,30-40,5830.0,19.0,16.0
Nonref,2000,500,CL,40-50,4456.0,10.6,17.7
Nonref,2000,500,CL,50-60,3971.0,7.1,11.0
Nonref,2000,500,CL,60-70,4092.0,5.5,12.5
Nonref,2000,500,CL,70-80,4063.0,4.1,17.6
Nonref,2000,500,CL,80-90,3809.0,2.8,20.5
Nonref,2000,500,CL,90-95,3725.0,1.9,21.3
Nonref,2000,500,CL,95-99,2395.0,0.7,25.8
Nonref,2000,500,CL,Top 1%,253.0,0.0,28.6
Nonref,2000,500,CL,ALL,4630.0,5.8,8.5
Nonref,2000,500,NO,0-10,1832.0,40.2,-32.4
Nonref,2000,500,NO,10-20,5670.0,42.7,-16.7
Nonref,2000,500,NO,20-30,6519.0,31.0,4.2
Nonref,2000,500,NO,30-40,5830.0,19.0,16.0
Nonref,2000,500,NO,40-50,4456.0,10.6,17.7
Nonref,2000,500,NO,50-60,3972.0,7.1,11.0
Nonref,2000,500,NO,60-70,4092.0,5.5,12.5
Nonref,2000,500,NO,70-80,4063.0,4.1,17.6
Nonref,2000,500,NO,80-90,3809.0,2.8,20.5
Nonref,2000,500,NO,90-95,3732.0,1.9,21.3
Nonref,2000,500,NO,95-99,3768.0,1.1,25.2
Nonref,2000,500,NO,Top 1%,3921.0,0.3,28.6
Nonref,2000,500,NO,ALL,4713.0,5.9,8.5
Nonref,2000,500,PT,0-10,1829.0,40.1,-32.4
Nonref,2000,500,PT,10-20,5670.0,42.7,-16.7
Nonref,2000,500,PT,20-30,6519.0,31.0,4.2
Nonref,2000,500,PT,30-40,5828.0,19.0,16.0
Nonref,2000,500,PT,40-50,4455.0,10.6,17.7
Nonref,2000,500,PT,50-60,3971.0,7.1,11.1
Nonref,2000,500,PT,60-70,4055.0,5.5,13.1
Nonref,2000,500,PT,70-80,3520.0,3.6,20.8
Nonref,2000,500,PT,80-90,1519.0,1.1,23.8
Nonref,2000,500,PT,90-95,345.0,0.2,21.6
Nonref,2000,500,PT,95-99,267.0,0.1,25.3
Nonref,2000,500,PT,Top 1%,174.0,0.0,28.6
Nonref,2000,500,PT,ALL,4124.0,5.2,9.2
Nonref,2000,1000,CL,0-10,1832.0,40.2,-32.4
Nonref,2000,1000,CL,10-20,5670.0,42.7,-16.7
Nonref,2000,1000,CL,20-30,6519.0,31.0,4.2
Nonref,2000,1000,CL,30-40,5845.0,19.1,15.5
Nonref,2000,1000,CL,40-50,4580.0,10.9,16.9
Nonref,2000,1000,CL,50-60,4157.0,7.4,10.9
Nonref,2000,1000,CL,60-70,4314.0,5.8,12.5
Nonref,2000,1000,CL,70-80,4309.0,4.3,17.5
Nonref,2000,1000,CL,80-90,4031.0,3.0,20.5
Nonref,2000,1000,CL,90-95,3944.0,2.0,21.3
Nonref,2000,1000,CL,95-99,2549.0,0.8,25.9
Nonref,2000,1000,CL,Top 1%,262.0,0.0,28.6
Nonref,2000,1000,CL,ALL,4741.0,5.9,8.4
Nonref,2000,1000,NO,0-10,1832.0,40.2,-32.4
Nonref,2000,1000,NO,10-20,5670.0,42.7,-16.7
Nonref,2000,1000,NO,20-30,6520.0,31.0,4.2
Nonref,2000,1000,NO,30-40,5845.0,19.1,15.5
Nonref,2000,1000,NO,40-50,4581.0,10.9,16.9
Nonref,2000,1000,NO,50-60,4157.0,7.4,10.9
Nonref,2000,1000,NO,60-70,4314.0,5.8,12.5
Nonref,2000,1000,NO,70-80,4309.0,4.3,17.5
Nonref,2000,1000,NO,80-90,4031.0,3.0,20.5
Nonref,2000,1000,NO,90-95,3951.0,2.0,21.3
Nonref,2000,1000,NO,95-99,3974.0,1.2,25.2
Nonref,2000,1000,NO,Top 1%,4138.0,0.3,28.6
Nonref,2000,1000,NO,ALL,4828.0,6.0,8.4
Nonref,2000,1000,PT,0-10,1829.0,40.1,-32.4
Nonref,2000,1000,PT,10-20,5670.0,42.7,-16.7
Nonref,2000,1000,PT,20-30,6519.0,31.0,4.2
Nonref,2000,1000,PT,30-40,5843.0,19.1,15.5
Nonref,2000,1000,PT,40-50,4579.0,10.9,16.9
Nonref,2000,1000,PT,50-60,4156.0,7.4,10.9
Nonref,2000,1000,PT,60-70,4278.0,5.8,13.1
Nonref,2000,1000,PT,70-80,3766.0,3.8,20.8
Nonref,2000,1000,PT,80-90,1722.0,1.3,23.9
Nonref,2000,1000,PT,90-95,385.0,0.2,21.7
Nonref,2000,1000,PT,95-99,272.0,0.1,25.3
Nonref,2000,1000,PT,Top 1%,176.0,0.0,28.6
Nonref,2000,1000,PT,ALL,4221.0,5.3,9.1
Nonref,2500,0,CL,0-10,1833.0,40.2,-32.4
Nonref,2500,0,CL,10-20,5670.0,42.7,-16.7
Nonref,2500,0,CL,20-30,6524.0,31.1,4.0
Nonref,2500,0,CL,30-40,5957.0,19.4,13.5
Nonref,2500,0,CL,40-50,4908.0,11.7,16.0
Nonref,2500,0,CL,50-60,4558.0,8.1,10.8
Nonref,2500,0,CL,60-70,4669.0,6.3,12.5
Nonref,2500,0,CL,70-80,4640.0,4.7,17.5
Nonref,2500,0,CL,80-90,4391.0,3.3,20.5
Nonref,2500,0,CL,90-95,4317.0,2.2,21.3
Nonref,2500,0,CL,95-99,2834.0,0.8,26.0
Nonref,2500,0,CL,Top 1%,272.0,0.0,28.6
Nonref,2500,0,CL,ALL,4949.0,6.2,8.0
Nonref,2500,0,NO,0-10,1834.0,40.2,-32.4
Nonref,2500,0,NO,10-20,5670.0,42.7,-16.7
Nonref,2500,0,NO,20-30,6524.0,31.1,4.0
Nonref,2500,0,NO,30-40,5957.0,19.4,13.5
Nonref,2500,0,NO,40-50,4908.0,11.7,16.0
Nonref,2500,0,NO,50-60,4558.0,8.1,10.8
Nonref,2500,0,NO,60-70,4670.0,6.3,12.5
Nonref,2500,0,NO,70-80,4640.0,4.7,17.5
Nonref,2500,0,NO,80-90,4391.0,3.3,20.5
Nonref,2500,0,NO,90-95,4324.0,2.2,21.3
Nonref,2500,0,NO,95-99,4393.0,1.3,25.2
Nonref,2500,0,NO,Top 1%,4593.0,0.3,28.6
Nonref,2500,0,NO,ALL,5046.0,6.3,8.0
Nonref,2500,0,PT,0-10,1830.0,40.1,-32.4
Nonref,2500,0,PT,10-20,5670.0,42.7,-16.7
Nonref,2500,0,PT,20-30,6523.0,31.1,4.0
Nonref,2500,0,PT,30-40,5955.0,19.4,13.5
Nonref,2500,0,PT,40-50,4907.0,11.7,16.0
Nonref,2500,0,PT,50-60,4556.0,8.1,10.9
Nonref,2500,0,PT,60-70,4631.0,6.3,13.1
Nonref,2500,0,PT,70-80,4097.0,4.1,20.8
Nonref,2500,0,PT,80-90,2019.0,1.5,24.3
Nonref,2500,0,PT,90-95,419.0,0.2,21.9
Nonref,2500,0,PT,95-99,277.0,0.1,25.3
Nonref,2500,0,PT,Top 1%,179.0,0.0,28.6
Nonref,2500,0,PT,ALL,4398.0,5.5,8.8
Nonref,2500,500,CL,0-10,1833.0,40.2,-32.4
Nonref,2500,500,CL,10-20,5670.0,42.7,-16.7
Nonref,2500,500,CL,20-30,6524.0,31.1,4.0
Nonref,2500,500,CL,30-40,5967.0,19.5,13.2
Nonref,2500,500,CL,40-50,5014.0,12.0,15.0
Nonref,2500,500,CL,50-60,4742.0,8.5,10.6
Nonref,2500,500,CL,60-70,4892.0,6.6,12.4
Nonref,2500,500,CL,70-80,4886.0,4.9,17.5
Nonref,2500,500,CL,80-90,4613.0,3.4,20.5
Nonref,2500,500,CL,90-95,4535.0,2.3,21.3
Nonref,2500,500,CL,95-99,2989.0,0.9,26.0
Nonref,2500,500,CL,Top 1%,281.0,0.0,28.6
Nonref,2500,500,CL,ALL,5058.0,6.3,7.9
Nonref,2500,500,NO,0-10,1834.0,40.2,-32.4
Nonref,2500,500,NO,10-20,5670.0,42.7,-16.7
Nonref,2500,500,NO,20-30,6524.0,31.1,4.0
Nonref,2500,500,NO,30-40,5967.0,19.5,13.2
Nonref,2500,500,NO,40-50,5014.0,12.0,15.0
Nonref,2500,500,NO,50-60,4742.0,8.5,10.6
Nonref,2500,500,NO,60-70,4892.0,6.6,12.4
Nonref,2500,500,NO,70-80,4886.0,4.9,17.5
Nonref,2500,500,NO,80-90,4613.0,3.4,20.5
Nonref,2500,500,NO,90-95,4542.0,2.4,21.3
Nonref,2500,500,NO,95-99,4600.0,1.4,25.2
Nonref,2500,500,NO,Top 1%,4810.0,0.3,28.6
Nonref,2500,500,NO,ALL,5158.0,6.5,7.8
Nonref,2500,500,PT,0-10,1830.0,40.1,-32.4
Nonref,2500,500,PT,10-20,5670.0,42.7,-16.7
Nonref,2500,500,PT,20-30,6523.0,31.1,4.0
Nonref,2500,500,PT,30-40,5965.0,19.5,13.2
Nonref,2500,500,PT,40-50,5012.0,12.0,15.0
Nonref,2500,500,PT,50-60,4740.0,8.5,10.7
Nonref,2500,500,PT,60-70,4853.0,6.6,13.1
Nonref,2500,500,PT,70-80,4343.0,4.4,20.8
Nonref,2500,500,PT,80-90,2221.0,1.7,24.4
Nonref,2500,500,PT,90-95,467.0,0.2,22.1
Nonref,2500,500,PT,95-99,282.0,0.1,25.3
Nonref,2500,500,PT,Top 1%,182.0,0.0,28.6
Nonref,2500,500,PT,ALL,4492.0,5.6,8.6
Nonref,2500,1000,CL,0-10,1834.0,40.2,-32.4
Nonref,2500,1000,CL,10-20,5670.0,42.7,-16.7
Nonref,2500,1000,CL,20-30,6524.0,31.1,4.0
Nonref,2500,1000,CL,30-40,5968.0,19.5,13.2
Nonref,2500,1000,CL,40-50,5060.0,12.1,14.3
Nonref,2500,1000,CL,50-60,4905.0,8.8,10.3
Nonref,2500,1000,CL,60-70,5111.0,6.9,12.4
Nonref,2500,1000,CL,70-80,5131.0,5.2,17.5
Nonref,2500,1000,CL,80-90,4835.0,3.6,20.5
Nonref,2500,1000,CL,90-95,4754.0,2.5,21.3
Nonref,2500,1000,CL,95-99,3149.0,0.9,26.0
Nonref,2500,1000,CL,Top 1%,290.0,0.0,28.6
Nonref,2500,1000,CL,ALL,5158.0,6.5,7.8
Nonref,2500,1000,NO,0-10,1834.0,40.2,-32.4
Nonref,2500,1000,NO,10-20,5670.0,42.7,-16.7
Nonref,2500,1000,NO,20-30,6524.0,31.1,4.0
Nonref,2500,1000,NO,30-40,5968.0,19.5,13.2
Nonref,2500,1000,NO,40-50,5060.0,12.1,14.3
Nonref,2500,1000,NO,50-60,4905.0,8.8,10.3
Nonref,2500,1000,NO,60-70,5111.0,6.9,12.4
Nonref,2500,1000,NO,70-80,5131.0,5.2,17.5
Nonref,2500,1000,NO,80-90,4835.0,3.6,20.5
Nonref,2500,1000,NO,90-95,4761.0,2.5,21.3
Nonref,2500,1000,NO,95-99,4806.0,1.4,25.2
Nonref,2500,1000,NO,Top 1%,5027.0,0.3,28.6
Nonref,2500,1000,NO,ALL,5261.0,6.6,7.7
Nonref,2500,1000,PT,0-10,1830.0,40.1,-32.4
Nonref,2500,1000,PT,10-20,5670.0,42.7,-16.7
Nonref,2500,1000,PT,20-30,6524.0,31.1,4.0
Nonref,2500,1000,PT,30-40,5967.0,19.5,13.2
Nonref,2500,1000,PT,40-50,5059.0,12.1,14.3
Nonref,2500,1000,PT,50-60,4904.0,8.8,10.3
Nonref,2500,1000,PT,60-70,5072.0,6.9,13.0
Nonref,2500,1000,PT,70-80,4588.0,4.6,20.7
Nonref,2500,1000,PT,80-90,2436.0,1.8,24.4
Nonref,2500,1000,PT,90-95,543.0,0.3,22.3
Nonref,2500,1000,PT,95-99,290.0,0.1,25.3
Nonref,2500,1000,PT,Top 1%,185.0,0.0,28.6
Nonref,2500,1000,PT,ALL,4579.0,5.7,8.5
Nonref,3000,0,CL,0-10,1835.0,40.2,-32.4
Nonref,3000,0,CL,10-20,5670.0,42.7,-16.7
Nonref,3000,0,CL,20-30,6524.0,31.1,4.0
Nonref,3000,0,CL,30-40,5988.0,19.5,12.5
Nonref,3000,0,CL,40-50,5250.0,12.5,12.7
Nonref,3000,0,CL,50-60,5287.0,9.4,9.9
Nonref,3000,0,CL,60-70,5465.0,7.4,12.4
Nonref,3000,0,CL,70-80,5461.0,5.5,17.5
Nonref,3000,0,CL,80-90,5194.0,3.9,20.5
Nonref,3000,0,CL,90-95,5127.0,2.7,21.3
Nonref,3000,0,CL,95-99,3452.0,1.0,26.1
Nonref,3000,0,CL,Top 1%,300.0,0.0,28.6
Nonref,3000,0,CL,ALL,5339.0,6.7,7.5
Nonref,3000,0,NO,0-10,1835.0,40.2,-32.4
Nonref,3000,0,NO,10-20,5670.0,42.7,-16.7
Nonref,3000,0,NO,20-30,6525.0,31.1,4.0
Nonref,3000,0,NO,30-40,5988.0,19.5,12.5
Nonref,3000,0,NO,40-50,5250.0,12.5,12.7
Nonref,3000,0,NO,50-60,5287.0,9.4,9.9
Nonref,3000,0,NO,60-70,5465.0,7.4,12.4
Nonref,3000,0,NO,70-80,5462.0,5.5,17.5
Nonref,3000,0,NO,80-90,5194.0,3.9,20.5
Nonref,3000,0,NO,90-95,5134.0,2.7,21.3
Nonref,3000,0,NO,95-99,5225.0,1.6,25.2
Nonref,3000,0,NO,Top 1%,5482.0,0.4,28.6
Nonref,3000,0,NO,ALL,5452.0,6.8,7.4
Nonref,3000,0,PT,0-10,1832.0,40.1,-32.4
Nonref,3000,0,PT,10-20,5670.0,42.7,-16.7
Nonref,3000,0,PT,20-30,6524.0,31.1,4.0
Nonref,3000,0,PT,30-40,5986.0,19.5,12.5
Nonref,3000,0,PT,40-50,5248.0,12.5,12.7
Nonref,3000,0,PT,50-60,5286.0,9.4,9.9
Nonref,3000,0,PT,60-70,5424.0,7.3,13.0
Nonref,3000,0,PT,70-80,4919.0,5.0,20.7
Nonref,3000,0,PT,80-90,2766.0,2.1,24.6
Nonref,3000,0,PT,90-95,667.0,0.3,22.6
Nonref,3000,0,PT,95-99,295.0,0.1,25.3
Nonref,3000,0,PT,Top 1%,188.0,0.0,28.6
Nonref,3000,0,PT,ALL,4736.0,5.9,8.3
Nonref,3000,500,CL,0-10,1835.0,40.2,-32.4
Nonref,3000,500,CL,10-20,5670.0,42.7,-16.7
Nonref,3000,500,CL,20-30,6525.0,31.1,4.0
Nonref,3000,500,CL,30-40,5989.0,19.5,12.4
Nonref,3000,500,CL,40-50,5290.0,12.6,12.1
Nonref,3000,500,CL,50-60,5440.0,9.7,9.4
Nonref,3000,500,CL,60-70,5682.0,7.7,12.3
Nonref,3000,500,CL,70-80,5706.0,5.8,17.5
Nonref,3000,500,CL,80-90,5416.0,4.0,20.5
Nonref,3000,500,CL,90-95,5345.0,2.8,21.3
Nonref,3000,500,CL,95-99,3613.0,1.1,26.1
Nonref,3000,500,CL,Top 1%,310.0,0.0,28.6
Nonref,3000,500,CL,ALL,5438.0,6.8,7.4
Nonref,3000,500,NO,0-10,1835.0,40.2,-32.4
Nonref,3000,500,NO,10-20,5670.0,42.7,-16.7
Nonref,3000,500,NO,20-30,6525.0,31.1,4.0
Nonref,3000,500,NO,30-40,5989.0,19.5,12.4
Nonref,3000,500,NO,40-50,5290.0,12.6,12.1
Nonref,3000,500,NO,50-60,5440.0,9.7,9.4
Nonref,3000,500,NO,60-70,5682.0,7.7,12.3
Nonref,3000,500,NO,70-80,5707.0,5.8,17.5
Nonref,3000,500,NO,80-90,5417.0,4.0,20.5
Nonref,3000,500,NO,90-95,5353.0,2.8,21.3
Nonref,3000,500,NO,95-99,5431.0,1.6,25.2
Nonref,3000,500,NO,Top 1%,5699.0,0.4,28.6
Nonref,3000,500,NO,ALL,5553.0,7.0,7.3
Nonref,3000,500,PT,0-10,1832.0,40.1,-32.4
Nonref,3000,500,PT,10-20,5670.0,42.7,-16.7
Nonref,3000,500,PT,20-30,6524.0,31.1,4.0
Nonref,3000,500,PT,30-40,5987.0,19.5,12.5
Nonref,3000,500,PT,40-50,5289.0,12.6,12.1
Nonref,3000,500,PT,50-60,5439.0,9.7,9.5
Nonref,3000,500,PT,60-70,5641.0,7.6,12.9
Nonref,3000,500,PT,70-80,5164.0,5.2,20.7
Nonref,3000,500,PT,80-90,2979.0,2.2,24.7
Nonref,3000,500,PT,90-95,752.0,0.4,22.7
Nonref,3000,500,PT,95-99,303.0,0.1,25.3
Nonref,3000,500,PT,Top 1%,191.0,0.0,28.6
Nonref,3000,500,PT,ALL,4822.0,6.0,8.2
Nonref,3000,1000,CL,0-10,1835.0,40.2,-32.4
Nonref,3000,1000,CL,10-20,5670.0,42.7,-16.7
Nonref,3000,1000,CL,20-30,6525.0,31.1,4.0
Nonref,3000,1000,CL,30-40,5990.0,19.5,12.4
Nonref,3000,1000,CL,40-50,5305.0,12.7,11.8
Nonref,3000,1000,CL,50-60,5553.0,9.9,8.9
Nonref,3000,1000,CL,60-70,5892.0,8.0,12.2
Nonref,3000,1000,CL,70-80,5950.0,6.0,17.5
Nonref,3000,1000,CL,80-90,5638.0,4.2,20.5
Nonref,3000,1000,CL,90-95,5564.0,2.9,21.3
Nonref,3000,1000,CL,95-99,3779.0,1.1,26.1
Nonref,3000,1000,CL,Top 1%,319.0,0.0,28.6
